bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1005420052,5,5,5,7,7,7,1,102,0065,1835,C7,0.7142857142857143,0.7142857142857143,0.7142857142857143
1005480040,9,9,9,152,152,152,1,102,0059,1929,D6,0.05921052631578947,0.05921052631578947,0.05921052631578947
1005520034,4,0,0,11,11,11,1,102,0065,1890,C1,0.36363636363636365,0,0
1005520060,15,15,15,65,65,65,1,102,0065,1927,H8,0.23076923076923078,0.23076923076923078,0.23076923076923078
1005520070,1,1,1,12,12,12,1,102,0065,1899,C1,0.08333333333333333,0.08333333333333333,0.08333333333333333
1005560075,1,0,1,20,20,20,1,103,0042,1900,C5,0.05,0,0.05
1005620001,4,4,4,205,205,205,1,102,0061,1923,D0,0.01951219512195122,0.01951219512195122,0.01951219512195122
1005630043,5,5,5,42,42,42,1,102,0061,1970,D3,0.11904761904761904,0.11904761904761904,0.11904761904761904
1005680006,6,6,6,88,88,88,1,102,0061,1923,D4,0.06818181818181818,0.06818181818181818,0.06818181818181818
1005680018,2,2,2,14,14,14,1,102,0061,1922,C7,0.14285714285714285,0.14285714285714285,0.14285714285714285
1005690003,3,3,3,65,65,65,1,102,0061,1925,D4,0.046153846153846156,0.046153846153846156,0.046153846153846156
1005720010,15,15,15,16,16,16,1,102,0063,1900,C5,0.9375,0.9375,0.9375
1005720043,32,32,32,33,33,33,1,102,0063,1903,D7,0.9696969696969697,0.9696969696969697,0.9696969696969697
1005720068,3,0,0,6,6,6,1,102,0063,1845,S9,0.5,0,0
1005730008,7,7,7,20,20,20,1,102,0063,1892,C4,0.35,0.35,0.35
1005750013,4,4,5,24,24,24,1,102,0063,1903,D7,0.16666666666666666,0.16666666666666666,0.20833333333333334
1005820034,4,4,4,10,10,10,1,102,0067,1910,C4,0.4,0.4,0.4
1005830025,6,6,6,14,14,14,1,102,0067,1887,C4,0.42857142857142855,0.42857142857142855,0.42857142857142855
1005840050,5,3,3,8,8,8,1,102,0067,1836,C5,0.625,0.375,0.375
1005850025,13,12,12,39,39,39,1,102,0073,1900,C4,0.3333333333333333,0.3076923076923077,0.3076923076923077
1005870030,10,9,9,32,32,32,1,102,0067,1886,D7,0.3125,0.28125,0.28125
1005880023,1,0,0,3,3,3,1,102,0073,1847,S3,0.3333333333333333,0,0
1005890011,14,14,14,26,26,26,1,102,0067,1960,C5,0.5384615384615384,0.5384615384615384,0.5384615384615384
1005900016,2,0,2,36,36,36,1,102,0067,1895,D7,0.05555555555555555,0,0.05555555555555555
1005900032,9,9,9,16,16,16,1,102,0067,1891,C7,0.5625,0.5625,0.5625
1005900047,10,10,10,14,14,14,1,102,0067,1900,C7,0.7142857142857143,0.7142857142857143,0.7142857142857143
1005900061,5,5,5,11,11,11,1,102,0067,1900,C7,0.45454545454545453,0.45454545454545453,0.45454545454545453
1005920040,27,21,21,74,74,74,1,102,0071,1929,D6,0.36486486486486486,0.28378378378378377,0.28378378378378377
1005970033,3,3,3,8,8,8,1,102,0037,1900,C7,0.375,0.375,0.375
1006060021,2,2,2,8,8,8,1,102,0071,1872,C7,0.25,0.25,0.25
1006060084,2,0,0,5,5,5,1,102,0071,1848,C2,0.4,0,0
1006090037,1,0,1,2,2,2,1,102,0071,1920,K4,0.5,0,0.5
1006100044,9,9,9,20,20,20,1,102,0071,1885,C4,0.45,0.45,0.45
1006110022,7,7,7,20,20,20,1,102,0073,1910,C7,0.35,0.35,0.35
1006110072,8,0,0,24,24,24,1,102,0071,1901,C7,0.3333333333333333,0,0
1006120010,20,21,21,22,22,22,1,102,0073,1887,C4,0.9090909090909091,0.9545454545454546,0.9545454545454546
1006120029,11,11,11,12,12,12,1,102,0073,1876,C7,0.9166666666666666,0.9166666666666666,0.9166666666666666
1006140043,4,3,3,16,16,16,1,102,0077,1901,C4,0.25,0.1875,0.1875
1006150052,13,13,13,29,29,29,1,102,0077,1913,C1,0.4482758620689655,0.4482758620689655,0.4482758620689655
1006150090,2,2,2,11,11,11,1,102,0077,1891,C4,0.18181818181818182,0.18181818181818182,0.18181818181818182
1006160053,4,4,4,6,6,6,1,102,0077,1848,C4,0.6666666666666666,0.6666666666666666,0.6666666666666666
1006170043,3,3,3,13,13,13,1,102,0077,1910,C5,0.23076923076923078,0.23076923076923078,0.23076923076923078
1006180015,8,8,8,30,30,30,1,102,0077,1926,D7,0.26666666666666666,0.26666666666666666,0.26666666666666666
1006180033,52,55,56,159,159,159,1,102,0077,1931,D6,0.3270440251572327,0.34591194968553457,0.3522012578616352
1006190041,7,7,7,16,16,16,1,102,0073,1873,C7,0.4375,0.4375,0.4375
1006190068,4,4,4,16,16,16,1,102,0073,1881,C4,0.25,0.25,0.25
1006200004,7,7,7,7,7,7,1,102,0073,1832,C7,1,1,1
1006210010,3,3,2,14,14,14,1,102,0073,1886,C4,0.21428571428571427,0.21428571428571427,0.14285714285714285
1006220063,1,0,0,6,6,6,1,102,0073,1868,C2,0.16666666666666666,0,0
1006240021,6,6,6,12,12,12,1,102,0079,1893,C4,0.5,0.5,0.5
1006250027,2,2,2,8,8,8,1,102,0077,1851,C5,0.25,0.25,0.25
1006250056,6,0,5,23,23,23,1,102,0077,1900,D7,0.2608695652173913,0,0.21739130434782608
