,BBL,Aleration_Count,altered_lessthan5yrs,altered_morethan5yrs,ClassANet_Avg,Enlargement_Count
484,1004820022,1,0,1,1.0,0
485,1004827503,1,0,1,4.0,0
486,1004830004,1,0,1,0.0,0
487,1004830005,1,0,1,0.0,0
488,1004847501,1,0,1,0.0,0
489,1004850008,1,0,1,0.0,0
490,1004850012,2,1,0,3.5,0
491,1004850022,1,0,1,1.0,0
492,1004850035,1,0,1,0.0,0
493,1004850036,2,1,0,-0.5,0
494,1004857503,1,0,1,0.0,0
495,1004860011,1,0,1,1.0,0
496,1004860036,1,0,1,0.0,0
497,1004867503,1,1,0,9.0,0
498,1004870006,1,1,0,2.0,0
499,1004870028,1,0,1,0.0,0
500,1004877502,1,1,0,0.0,0
501,1004890035,1,0,1,-12.0,0
502,1004897502,1,1,0,0.0,0
503,1004920004,1,0,1,0.0,0
504,1004920025,1,0,1,0.0,0
505,1004920041,1,0,1,0.0,0
506,1004927505,1,1,0,7.0,0
507,1004930021,1,1,0,1.0,0
508,1004940022,1,1,0,1.0,0
509,1004940037,1,1,0,0.0,0
510,1004940038,1,0,1,-1.0,1
511,1004947503,1,1,0,7.0,0
512,1004947504,1,0,1,6.0,0
513,1004950022,1,1,0,0.0,0
514,1004950037,1,0,1,1.0,0
515,1004960005,1,1,0,0.0,0
516,1004960007,1,1,0,0.0,0
517,1004970011,1,0,1,0.0,0
518,1004977501,2,0,1,0.5,0
519,1004980007,1,0,1,13.0,0
520,1004987501,1,0,1,0.0,0
521,1004990006,1,1,0,-2.0,0
522,1004990007,1,0,1,-3.0,0
523,1004990011,1,0,1,0.0,0
524,1004990017,1,0,1,0.0,0
525,1004990018,1,0,1,0.0,0
526,1004997504,1,1,0,0.0,0
527,1004997507,1,0,1,-3.0,0
528,1005000035,1,0,1,-6.0,0
529,1005007503,1,0,1,0.0,0
530,1005010008,1,0,1,0.0,0
531,1005020020,1,0,1,-2.0,0
532,1005027502,1,0,1,0.0,0
533,1005030020,1,1,0,1.0,0
534,1005030042,1,0,1,-1.0,0
535,1005040029,1,1,0,-6.0,0
536,1005050016,1,1,0,0.0,0
537,1005060022,1,1,0,-2.0,0
